techs,pv,pv,pv
nodes,DEU,ITA,CHE
2018-01-01 00:00,0.0,0.0,0.0
2018-01-01 01:00,0.0,0.0,0.0
2018-01-01 02:00,0.0,0.0,0.0
2018-01-01 03:00,0.0,0.0,0.0
2018-01-01 04:00,0.0,0.0,0.0
2018-01-01 05:00,0.0,0.0,0.0
2018-01-01 06:00,0.0,0.002731217,0.0
2018-01-01 07:00,0.001790974,0.046412755,0.002433976
2018-01-01 08:00,0.043167642,0.124761853,0.064273434
2018-01-01 09:00,0.098233983,0.198711292,0.153324023
2018-01-01 10:00,0.14073292,0.24400049,0.260167743
2018-01-01 11:00,0.170526578,0.260106642,0.327068774
2018-01-01 12:00,0.164604937,0.247494927,0.312254057
2018-01-01 13:00,0.112838823,0.200763541,0.229197456
2018-01-01 14:00,0.035846697,0.116982632,0.121790078
2018-01-01 15:00,0.0,0.018495102,0.011854945
2018-01-01 16:00,0.0,0.0,0.0
2018-01-01 17:00,0.0,0.0,0.0
2018-01-01 18:00,0.0,0.0,0.0
2018-01-01 19:00,0.0,0.0,0.0
2018-01-01 20:00,0.0,0.0,0.0
2018-01-01 21:00,0.0,0.0,0.0
2018-01-01 22:00,0.0,0.0,0.0
2018-01-01 23:00,0.0,0.0,0.0
2018-01-02 00:00,0.0,0.0,0.0
2018-01-02 01:00,0.0,0.0,0.0
2018-01-02 02:00,0.0,0.0,0.0
2018-01-02 03:00,0.0,0.0,0.0
2018-01-02 04:00,0.0,0.0,0.0
2018-01-02 05:00,0.0,0.0,0.0
2018-01-02 06:00,0.0,0.0,0.0
2018-01-02 07:00,0.0,0.058566919,0.004502756
2018-01-02 08:00,0.009775167,0.169568225,0.040279888
2018-01-02 09:00,0.032098364,0.270315006,0.083185584
2018-01-02 10:00,0.057155949,0.332158096,0.134739307
2018-01-02 11:00,0.077471475,0.357643587,0.149389247
2018-01-02 12:00,0.076107541,0.337355407,0.140630285
2018-01-02 13:00,0.053811898,0.271677188,0.110693786
2018-01-02 14:00,0.017495924,0.154251646,0.075103361
2018-01-02 15:00,0.0,0.023851814,0.004982177
2018-01-02 16:00,0.0,0.0,0.0
2018-01-02 17:00,0.0,0.0,0.0
2018-01-02 18:00,0.0,0.0,0.0
2018-01-02 19:00,0.0,0.0,0.0
2018-01-02 20:00,0.0,0.0,0.0
2018-01-02 21:00,0.0,0.0,0.0
2018-01-02 22:00,0.0,0.0,0.0
2018-01-02 23:00,0.0,0.0,0.0
2018-01-03 00:00,0.0,0.0,0.0
2018-01-03 01:00,0.0,0.0,0.0
2018-01-03 02:00,0.0,0.0,0.0
2018-01-03 03:00,0.0,0.0,0.0
2018-01-03 04:00,0.0,0.0,0.0
2018-01-03 05:00,0.0,0.0,0.0
2018-01-03 06:00,0.0,0.008433916,0.0
2018-01-03 07:00,0.0,0.11781367,0.0052252
2018-01-03 08:00,0.011048407,0.2568945,0.023964211
2018-01-03 09:00,0.040125451,0.352158567,0.056390514
2018-01-03 10:00,0.062080759,0.386363309,0.05308193
2018-01-03 11:00,0.073112762,0.365704774,0.047465125
2018-01-03 12:00,0.063852835,0.296561676,0.054901104
2018-01-03 13:00,0.034599344,0.208430825,0.06678663
2018-01-03 14:00,0.0071747,0.100587653,0.038335579
2018-01-03 15:00,0.0,0.012239784,0.0
2018-01-03 16:00,0.0,0.0,0.0
2018-01-03 17:00,0.0,0.0,0.0
2018-01-03 18:00,0.0,0.0,0.0
2018-01-03 19:00,0.0,0.0,0.0
2018-01-03 20:00,0.0,0.0,0.0
2018-01-03 21:00,0.0,0.0,0.0
2018-01-03 22:00,0.0,0.0,0.0
2018-01-03 23:00,0.0,0.0,0.0
2018-01-04 00:00,0.0,0.0,0.0
2018-01-04 01:00,0.0,0.0,0.0
2018-01-04 02:00,0.0,0.0,0.0
2018-01-04 03:00,0.0,0.0,0.0
2018-01-04 04:00,0.0,0.0,0.0
2018-01-04 05:00,0.0,0.0,0.0
2018-01-04 06:00,0.0,0.005525706,0.0
2018-01-04 07:00,0.0,0.109018076,0.003229105
2018-01-04 08:00,0.008658126,0.261634342,0.025166426
2018-01-04 09:00,0.027668514,0.3535171,0.05755067
2018-01-04 10:00,0.041676663,0.408683161,0.079196539
2018-01-04 11:00,0.0493092,0.409743894,0.075135836
2018-01-04 12:00,0.046102402,0.358272831,0.072846725
2018-01-04 13:00,0.025256202,0.266389044,0.055672081
2018-01-04 14:00,0.002249153,0.139374834,0.024119296
2018-01-04 15:00,0.0,0.0148705,0.001403769
2018-01-04 16:00,0.0,0.0,0.0
2018-01-04 17:00,0.0,0.0,0.0
2018-01-04 18:00,0.0,0.0,0.0
2018-01-04 19:00,0.0,0.0,0.0
2018-01-04 20:00,0.0,0.0,0.0
2018-01-04 21:00,0.0,0.0,0.0
2018-01-04 22:00,0.0,0.0,0.0
2018-01-04 23:00,0.0,0.0,0.0
2018-01-05 00:00,0.0,0.0,0.0
2018-01-05 01:00,0.0,0.0,0.0
2018-01-05 02:00,0.0,0.0,0.0
2018-01-05 03:00,0.0,0.0,0.0
2018-01-05 04:00,0.0,0.0,0.0
2018-01-05 05:00,0.0,0.0,0.0
2018-01-05 06:00,0.0,0.003901916,0.0
2018-01-05 07:00,0.002201308,0.070711751,0.01296144
2018-01-05 08:00,0.030925478,0.174091941,0.090796606
2018-01-05 09:00,0.066759462,0.261694046,0.159995696
2018-01-05 10:00,0.086476317,0.315174983,0.192626775
2018-01-05 11:00,0.088202807,0.332232303,0.176105009
2018-01-05 12:00,0.072483493,0.30646223,0.163763692
2018-01-05 13:00,0.044796735,0.236165242,0.116727677
2018-01-05 14:00,0.011259342,0.127292986,0.05003443
2018-01-05 15:00,0.0,0.018534817,0.003276264
2018-01-05 16:00,0.0,0.0,0.0
2018-01-05 17:00,0.0,0.0,0.0
2018-01-05 18:00,0.0,0.0,0.0
2018-01-05 19:00,0.0,0.0,0.0
2018-01-05 20:00,0.0,0.0,0.0
2018-01-05 21:00,0.0,0.0,0.0
2018-01-05 22:00,0.0,0.0,0.0
2018-01-05 23:00,0.0,0.0,0.0
2018-01-06 00:00,0.0,0.0,0.0
2018-01-06 01:00,0.0,0.0,0.0
2018-01-06 02:00,0.0,0.0,0.0
2018-01-06 03:00,0.0,0.0,0.0
2018-01-06 04:00,0.0,0.0,0.0
2018-01-06 05:00,0.0,0.0,0.0
2018-01-06 06:00,0.0,0.007191793,0.0
